goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         4.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         4.058 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         4.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.737 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.650 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=nil_error,_nil_target-10         	   10000	         3.817 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         3.175 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         3.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         2.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         2.979 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         2.954 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         4.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         4.033 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         4.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         4.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.As/c=nil_error,_nil_target-10        	   10000	         4.017 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.875 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.062 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.046 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.050 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.037 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=nil_error,_nil_target-10      	   10000	         4.062 ns/op	       0 B/op	       0 allocs/op
